id,Points,Time,Latitude,Longitude,Direction
1,point 1,10:33:11,18.50754,73.80772,Forward
2,point 2,10:34:11,18.50758,73.80786,Forward
3,point 3,10:35:11,18.50768,73.80809,Forward
4,point 4,10:36:11,18.50776,73.80823,Forward
5,point 5,10:37:11,18.50787,73.80841,Forward
6,point 6,10:38:11,18.50788,73.80842,Forward
7,point 7,10:39:11,18.50801,73.80866,Forward
8,point 8,10:40:11,18.50812,73.80889,Forward
9,point 9,10:41:11,18.50822,73.80914,Forward
10,point 10,10:42:11,18.50808,73.80916,Forward
11,point 11,10:43:11,18.50769,73.80843,Forward
12,point 12,10:44:11,18.50753,73.80812,Forward
13,point 13,10:45:11,18.50744,73.80791,Forward
14,point 14,10:46:11,18.50739,73.80776,Forward
15,point 15,10:47:11,18.50736,73.80765,Forward
16,point 16,10:48:11,18.50735,73.80755,Forward
17,point 17,10:49:11,18.50731,73.80731,Forward
18,point 18,10:50:11,18.50729,73.80694,Forward
19,point 19,10:51:11,18.50729,73.80685,Forward
20,point 20,10:52:11,18.50726,73.8066,Forward
21,point 21,10:53:11,18.50722,73.80614,Forward
22,point 22,10:54:11,18.5072,73.80597,Forward
23,point 23,10:55:11,18.50719,73.80591,Forward
24,point 24,10:56:11,18.50716,73.80577,Forward
25,point 25,10:57:11,18.50713,73.80548,Forward
26,point 26,10:58:11,18.50705,73.80472,Forward
27,point 27,10:59:11,18.50699,73.80403,Forward
28,point 28,11:00:11,18.50698,73.80393,Forward
29,point 29,11:01:11,18.50697,73.80366,Forward
30,point 30,11:02:11,18.50696,73.80355,Forward
31,point 31,11:03:11,18.50694,73.80311,Forward
32,point 32,11:04:11,18.50692,73.80287,Forward
33,point 33,11:05:11,18.50692,73.80281,Forward
34,point 34,11:06:11,18.50692,73.80275,Forward
35,point 35,11:07:11,18.50692,73.80262,Forward
36,point 36,11:08:11,18.50695,73.80249,Forward
37,point 37,11:09:11,18.50696,73.80241,Forward
38,point 38,11:10:11,18.50698,73.80232,Forward
39,point 39,11:11:11,18.50703,73.80213,Forward
40,point 40,11:12:11,18.50705,73.80202,Forward
41,point 41,11:13:11,18.50713,73.80164,Forward
42,point 42,11:14:11,18.50713,73.80162,Forward
43,point 43,11:15:11,18.50717,73.80142,Forward
44,point 44,11:16:11,18.50726,73.80082,Forward
45,point 45,11:17:11,18.50728,73.80071,Forward
46,point 46,11:18:11,18.5073,73.80053,Forward
47,point 47,11:19:11,18.50733,73.80025,Forward
48,point 48,11:20:11,18.50748,73.79915,Forward
49,point 49,11:21:11,18.50752,73.79866,Forward
50,point 50,11:22:11,18.5076,73.79805,Forward
51,point 51,11:23:11,18.50763,73.79785,Forward
52,point 52,11:24:11,18.50765,73.79754,Forward
53,point 53,11:25:11,18.50768,73.79725,Forward
54,point 54,11:26:11,18.50778,73.79661,Forward
55,point 55,11:27:11,18.50781,73.79626,Forward
56,point 56,11:28:11,18.50784,73.79548,Forward
57,point 57,11:29:11,18.50788,73.79485,Forward
58,point 58,11:30:11,18.50789,73.79468,Forward
59,point 59,11:31:11,18.50798,73.79401,Forward
60,point 60,11:32:11,18.50807,73.79308,Forward
61,point 61,11:33:11,18.50815,73.79243,Forward
62,point 62,11:34:11,18.50817,73.79225,Forward
63,point 63,11:35:11,18.50818,73.79213,Forward
64,point 64,11:36:11,18.50819,73.79202,Forward
65,point 65,11:37:11,18.50824,73.79163,Forward
66,point 66,11:38:11,18.50826,73.79143,Forward
67,point 67,11:39:11,18.50828,73.79124,Forward
68,point 68,11:40:11,18.5083,73.79099,Forward
69,point 69,11:41:11,18.50834,73.79086,Forward
70,point 70,11:42:11,18.50835,73.79077,Forward
71,point 71,11:43:11,18.50835,73.79067,Forward
72,point 72,11:44:11,18.50835,73.79057,Forward
73,point 73,11:45:11,18.50834,73.79046,Forward
74,point 74,11:46:11,18.50833,73.79029,Forward
75,point 75,11:47:11,18.50821,73.78969,Forward
76,point 76,11:48:11,18.50816,73.78954,Forward
77,point 77,11:49:11,18.50814,73.78947,Forward
78,point 78,11:50:11,18.50811,73.78939,Forward
79,point 79,11:51:11,18.50798,73.78903,Forward
80,point 80,11:52:11,18.50796,73.789,Forward
81,point 81,11:53:11,18.50782,73.78877,Forward
82,point 82,11:54:11,18.50771,73.78864,Forward
83,point 83,11:55:11,18.50752,73.7884,Forward
84,point 84,11:56:11,18.50733,73.78827,Forward
85,point 85,11:57:11,18.50728,73.78822,Forward
86,point 86,11:58:11,18.50725,73.78819,Forward
87,point 87,11:59:11,18.50722,73.78811,Forward
88,point 88,12:00:11,18.50719,73.78805,Forward
89,point 89,12:01:11,18.50718,73.78795,Forward
90,point 90,12:02:11,18.50716,73.78777,Forward
91,point 91,12:03:11,18.50715,73.78733,Forward
92,point 92,12:04:11,18.50713,73.78708,Forward
93,point 93,12:05:11,18.50712,73.78689,Forward
94,point 94,12:06:11,18.50712,73.78682,Forward
95,point 95,12:07:11,18.50711,73.78651,Forward
96,point 96,12:08:11,18.50707,73.78617,Forward
97,point 97,12:09:11,18.50704,73.78591,Forward
98,point 98,12:10:11,18.50702,73.78577,Forward
99,point 99,12:11:11,18.50701,73.78572,Forward
100,point 100,12:12:11,18.50698,73.78559,Forward
101,point 101,12:13:11,18.50696,73.78552,Forward
102,point 102,12:14:11,18.50692,73.78532,Forward
103,point 103,12:15:11,18.50689,73.78523,Forward
104,point 104,12:16:11,18.50689,73.78522,Forward
105,point 105,12:17:11,18.50687,73.78514,Forward
106,point 106,12:18:11,18.50685,73.78505,Forward
107,point 107,12:19:11,18.50684,73.78504,Forward
108,point 108,12:20:11,18.50683,73.78493,Forward
109,point 109,12:21:11,18.50682,73.78481,Forward
110,point 110,12:22:11,18.50682,73.78471,Forward
111,point 111,12:23:11,18.50682,73.78466,Forward
112,point 112,12:24:11,18.50682,73.78461,Forward
113,point 113,12:25:11,18.50683,73.78453,Forward
114,point 114,12:26:11,18.50684,73.7845,Forward
115,point 115,12:27:11,18.50684,73.78447,Forward
116,point 116,12:28:11,18.50686,73.78438,Forward
117,point 117,12:29:11,18.50691,73.78422,Forward
118,point 118,12:30:11,18.50694,73.78413,Forward
119,point 119,12:31:11,18.50697,73.78404,Forward
120,point 120,12:32:11,18.50699,73.78399,Forward
121,point 121,12:33:11,18.50701,73.78386,Forward
122,point 122,12:34:11,18.50703,73.78378,Forward
123,point 123,12:35:11,18.50704,73.78367,Forward
124,point 124,12:36:11,18.50705,73.78361,Forward
125,point 125,12:37:11,18.50706,73.7835,Forward
126,point 126,12:38:11,18.50706,73.78348,Forward
127,point 127,12:39:11,18.50708,73.78332,Forward
128,point 128,12:40:11,18.50709,73.78325,Forward
129,point 129,12:41:11,18.5071,73.78306,Forward
130,point 130,12:42:11,18.50712,73.78294,Forward
131,point 131,12:43:11,18.50713,73.78281,Forward
132,point 132,12:44:11,18.50714,73.78272,Forward
133,point 133,12:45:11,18.50714,73.78249,Forward
134,point 134,12:46:11,18.50715,73.78239,Forward
135,point 135,12:47:11,18.50716,73.7823,Forward
136,point 136,12:48:11,18.50717,73.78226,Forward
137,point 137,12:49:11,18.50717,73.78225,Forward
138,point 138,12:50:11,18.50721,73.78209,Forward
139,point 139,12:51:11,18.50723,73.782,Forward
140,point 140,12:52:11,18.50723,73.78194,Forward
141,point 141,12:53:11,18.50724,73.78188,Forward
142,point 142,12:54:11,18.50723,73.78184,Forward
143,point 143,12:55:11,18.50723,73.7818,Forward
144,point 144,12:56:11,18.50723,73.78177,Forward
145,point 145,12:57:11,18.50722,73.78174,Forward
146,point 146,12:58:11,18.50721,73.78171,Forward
147,point 147,12:59:11,18.5072,73.78168,Forward
