id,Points,Time,Latitude,Longitude,Direction
1,Point 1,20:10:30,18.49547,73.81624,Forward
2,Point 2,20:11:00,18.49541,73.81568,Forward
3,Point 3,20:11:30,18.49552,73.81527,Forward
4,Point 4,20:12:00,18.49568,73.81451,Forward
5,Point 5,20:12:30,18.49578,73.81408,Forward
6,Point 6,20:13:00,18.49579,73.81407,Forward
7,Point 7,20:13:30,18.49589,73.81355,Forward
8,Point 8,20:14:00,18.49551,73.81346,Forward
9,Point 9,20:14:30,18.49525,73.81341,Forward
10,Point 10,20:15:00,18.49527,73.8133,Forward
11,Point 11,20:15:30,18.4953,73.81313,Forward
12,Point 12,20:16:00,18.4953,73.81295,Forward
13,Point 13,20:16:30,18.49533,73.8125,Forward
14,Point 14,20:17:00,18.49536,73.81214,Forward
15,Point 15,20:17:30,18.4953,73.81212,Forward
16,Point 16,20:18:00,18.49525,73.81211,Forward
17,Point 17,20:18:30,18.49521,73.81208,Forward
18,Point 18,20:19:00,18.49517,73.81204,Forward
19,Point 19,20:19:30,18.49513,73.81201,Forward
20,Point 20,20:20:00,18.4951,73.81196,Forward
21,Point 21,20:20:30,18.49508,73.81191,Forward
22,Point 22,20:21:00,18.49507,73.81186,Forward
23,Point 23,20:21:30,18.49506,73.81181,Forward
24,Point 24,20:22:00,18.49506,73.81175,Forward
25,Point 25,20:22:30,18.49507,73.8117,Forward
26,Point 26,20:23:00,18.49509,73.81161,Forward
27,Point 27,20:23:30,18.49512,73.81156,Forward
28,Point 28,20:24:00,18.49515,73.81152,Forward
29,Point 29,20:24:30,18.49519,73.81149,Forward
30,Point 30,20:25:00,18.49523,73.81146,Forward
31,Point 31,20:25:30,18.49528,73.81144,Forward
32,Point 32,20:26:00,18.49533,73.81142,Forward
33,Point 33,20:26:30,18.49538,73.81142,Forward
34,Point 34,20:27:00,18.49544,73.81142,Forward
35,Point 35,20:27:30,18.49551,73.81144,Forward
36,Point 36,20:28:00,18.49556,73.81147,Forward
37,Point 37,20:28:30,18.49561,73.8115,Forward
38,Point 38,20:29:00,18.49564,73.81154,Forward
39,Point 39,20:29:30,18.49568,73.81158,Forward
40,Point 40,20:30:00,18.4957,73.81163,Forward
41,Point 41,20:30:30,18.49572,73.81168,Forward
42,Point 42,20:31:00,18.49573,73.81174,Forward
43,Point 43,20:31:30,18.49574,73.81179,Forward
44,Point 44,20:32:00,18.49573,73.81184,Forward
45,Point 45,20:32:30,18.49605,73.81199,Forward
46,Point 46,20:33:00,18.4964,73.81209,Forward
47,Point 47,20:33:30,18.4966,73.81215,Forward
,,,,      ,
