id,Points,Time,Latitude,Longitude,Direction
1,Point 1,00:01:00,18.49455,73.81402,Forward
2,Point 2,00:02:00,18.49467,73.81333,Forward
3,Point 3,00:03:00,18.49452,73.81334,Forward
4,Point 4,00:04:00,18.49442,73.81339,Forward
5,Point 5,00:05:00,18.49433,73.81346,Forward
6,Point 6,00:06:00,18.49421,73.81358,Forward
7,Point 7,00:07:00,18.49412,73.81366,Forward
8,Point 8,00:08:00,18.49408,73.81371,Forward
9,Point 9,00:09:00,18.49406,73.81372,Forward
10,Point 10,00:10:00,18.49402,73.81376,Forward
11,Point 11,00:11:00,18.49396,73.81385,Forward
12,Point 12,00:12:00,18.49395,73.81387,Forward
13,Point 13,00:13:00,18.49393,73.8139,Forward
14,Point 14,00:14:00,18.49386,73.81404,Forward
15,Point 15,00:15:00,18.49382,73.8141,Forward
16,Point 16,00:16:00,18.49378,73.81418,Forward
17,Point 17,00:17:00,18.49371,73.81432,Forward
18,Point 18,00:18:00,18.49355,73.81463,Forward
19,Point 19,00:19:00,18.49352,73.81467,Forward
20,Point 20,00:20:00,18.49351,73.8147,Forward
21,Point 21,00:21:00,18.49333,73.81506,Forward
22,Point 22,00:22:00,18.49327,73.81513,Forward
23,Point 23,00:23:00,18.49318,73.8152,Forward
24,Point 24,00:24:00,18.49314,73.81506,Forward
25,Point 25,00:25:00,18.49321,73.81499,Forward
26,Point 26,00:26:00,18.49326,73.8149,Forward
27,Point 27,00:27:00,18.49334,73.81474,Forward
28,Point 28,00:28:00,18.49348,73.81448,Forward
29,Point 29,00:29:00,18.49371,73.81404,Forward
30,Point 30,00:30:00,18.49383,73.81381,Forward
31,Point 31,00:31:00,18.49389,73.81372,Forward
32,Point 32,00:32:00,18.49396,73.81364,Forward
33,Point 33,00:33:00,18.49397,73.81364,Forward
34,Point 34,00:34:00,18.49402,73.81358,Forward
35,Point 35,00:35:00,18.4941,73.81351,Forward
36,Point 36,00:36:00,18.49423,73.81339,Forward
37,Point 37,00:37:00,18.49427,73.81335,Forward
38,Point 38,00:38:00,18.49439,73.81327,Forward
39,Point 39,00:39:00,18.49446,73.81325,Forward
40,Point 40,00:40:00,18.49454,73.81323,Forward
41,Point 41,00:41:00,18.49463,73.81322,Forward
42,Point 42,00:42:00,18.49475,73.81322,Forward
43,Point 43,00:43:00,18.49491,73.81325,Forward
44,Point 44,00:44:00,18.49492,73.81325,Forward
45,Point 45,00:45:00,18.49527,73.8133,Forward
46,Point 46,00:46:00,18.4953,73.81313,Forward
47,Point 47,00:47:00,18.4953,73.81295,Forward
48,Point 48,00:48:00,18.49533,73.8125,Forward
49,Point 49,00:49:00,18.49536,73.81214,Forward
50,Point 50,00:50:00,18.4953,73.81212,Forward
51,Point 51,00:51:00,18.49525,73.81211,Forward
52,Point 52,00:52:00,18.49521,73.81208,Forward
53,Point 53,00:53:00,18.49517,73.81204,Forward
54,Point 54,00:54:00,18.49513,73.81201,Forward
55,Point 55,00:55:00,18.4951,73.81196,Forward
56,Point 56,00:56:00,18.49508,73.81191,Forward
57,Point 57,00:57:00,18.49507,73.81186,Forward
58,Point 58,00:58:00,18.49506,73.81181,Forward
59,Point 59,00:59:00,18.49506,73.81175,Forward
60,Point 60,01:00:00,18.49507,73.8117,Forward
61,Point 61,01:01:00,18.49509,73.81161,Forward
62,Point 62,01:02:00,18.49512,73.81156,Forward
63,Point 63,01:03:00,18.49515,73.81152,Forward
64,Point 64,01:04:00,18.49519,73.81149,Forward
65,Point 65,01:05:00,18.49523,73.81146,Forward
66,Point 66,01:06:00,18.49528,73.81144,Forward
67,Point 67,01:07:00,18.49533,73.81142,Forward
68,Point 68,01:08:00,18.49538,73.81142,Forward
69,Point 69,01:09:00,18.49544,73.81142,Forward
70,Point 70,01:10:00,18.49551,73.81144,Forward
71,Point 71,01:11:00,18.49556,73.81147,Forward
72,Point 72,01:12:00,18.49561,73.8115,Forward
73,Point 73,01:13:00,18.49564,73.81154,Forward
74,Point 74,01:14:00,18.49568,73.81158,Forward
75,Point 75,01:15:00,18.4957,73.81163,Forward
76,Point 76,01:16:00,18.49572,73.81168,Forward
77,Point 77,01:17:00,18.49573,73.81174,Forward
78,Point 78,01:18:00,18.49574,73.81179,Forward
79,Point 79,01:19:00,18.49573,73.81184,Forward
80,Point 80,01:20:00,18.49605,73.81199,Forward
81,Point 81,01:21:00,18.4964,73.81209,Forward
82,Point 82,01:22:00,18.4966,73.81215,Forward
