id,Points,Time,Latitude,Longitude,Direction
591,Point 591,20:49:00,18.62794,73.80446,Reverse
592,Point 592,20:49:30,18.62724,73.80506,Reverse
593,Point 593,20:50:00,18.62704,73.80522,Reverse
594,Point 594,20:50:30,18.62651,73.80566,Reverse
595,Point 595,20:51:00,18.62651,73.80567,Reverse
596,Point 596,20:51:30,18.62651,73.80568,Reverse
597,Point 597,20:52:00,18.62651,73.80569,Reverse
598,Point 598,20:52:30,18.6265,73.80569,Reverse
599,Point 599,20:53:00,18.6265,73.8057,Reverse
600,Point 600,20:53:30,18.6265,73.80571,Reverse
601,Point 601,20:54:00,18.62649,73.80572,Reverse
602,Point 602,20:54:30,18.62649,73.80573,Reverse
603,Point 603,20:55:00,18.62648,73.80574,Reverse
604,Point 604,20:55:30,18.62647,73.80575,Reverse
605,Point 605,20:56:00,18.62645,73.80576,Reverse
606,Point 606,20:56:30,18.62644,73.80577,Reverse
607,Point 607,20:57:00,18.62643,73.80578,Reverse
608,Point 608,20:57:30,18.62641,73.80579,Reverse
609,Point 609,20:58:00,18.6264,73.8058,Reverse
610,Point 610,20:58:30,18.62637,73.80582,Reverse
611,Point 611,20:59:00,18.62634,73.80581,Reverse
612,Point 612,20:59:30,18.62622,73.80595,Reverse
613,Point 613,21:00:00,18.62608,73.80608,Reverse
614,Point 614,21:00:30,18.6258,73.80632,Reverse
615,Point 615,21:01:00,18.62569,73.80641,Reverse
616,Point 616,21:01:30,18.62546,73.80659,Reverse
617,Point 617,21:02:00,18.62442,73.80747,Reverse
618,Point 618,21:02:30,18.62432,73.80751,Reverse
619,Point 619,21:03:00,18.62425,73.80755,Reverse
620,Point 620,21:03:30,18.62416,73.80763,Reverse
621,Point 621,21:04:00,18.62402,73.80769,Reverse
622,Point 622,21:04:30,18.62377,73.80791,Reverse
623,Point 623,21:05:00,18.62349,73.80815,Reverse
624,Point 624,21:05:30,18.62279,73.80874,Reverse
625,Point 625,21:06:00,18.62265,73.80886,Reverse
626,Point 626,21:06:30,18.62237,73.8091,Reverse
627,Point 627,21:07:00,18.62209,73.80934,Reverse
628,Point 628,21:07:30,18.62195,73.80946,Reverse
629,Point 629,21:08:00,18.62184,73.80954,Reverse
630,Point 630,21:08:30,18.62181,73.80957,Reverse
631,Point 631,21:09:00,18.62153,73.80982,Reverse
632,Point 632,21:09:30,18.62074,73.8105,Reverse
633,Point 633,21:10:00,18.6204,73.81079,Reverse
634,Point 634,21:10:30,18.62036,73.81083,Reverse
635,Point 635,21:11:00,18.6198,73.81131,Reverse
636,Point 636,21:11:30,18.61964,73.81146,Reverse
637,Point 637,21:12:00,18.61898,73.81201,Reverse
638,Point 638,21:12:30,18.61874,73.81222,Reverse
639,Point 639,21:13:00,18.61834,73.81256,Reverse
640,Point 640,21:13:30,18.6182,73.81268,Reverse
641,Point 641,21:14:00,18.61806,73.8128,Reverse
642,Point 642,21:14:30,18.61796,73.81289,Reverse
643,Point 643,21:15:00,18.61793,73.81292,Reverse
644,Point 644,21:15:30,18.61779,73.81304,Reverse
645,Point 645,21:16:00,18.61724,73.81353,Reverse
646,Point 646,21:16:30,18.6171,73.81365,Reverse
647,Point 647,21:17:00,18.61705,73.81369,Reverse
648,Point 648,21:17:30,18.61668,73.81402,Reverse
649,Point 649,21:18:00,18.61655,73.81414,Reverse
650,Point 650,21:18:30,18.61627,73.81438,Reverse
651,Point 651,21:19:00,18.61613,73.81451,Reverse
652,Point 652,21:19:30,18.61572,73.81487,Reverse
653,Point 653,21:20:00,18.61517,73.81536,Reverse
654,Point 654,21:20:30,18.61503,73.81548,Reverse
655,Point 655,21:21:00,18.61476,73.81573,Reverse
656,Point 656,21:21:30,18.61434,73.81609,Reverse
657,Point 657,21:22:00,18.61391,73.81649,Reverse
658,Point 658,21:22:30,18.61381,73.81658,Reverse
659,Point 659,21:23:00,18.61371,73.81667,Reverse
660,Point 660,21:23:30,18.61312,73.81717,Reverse
661,Point 661,21:24:00,18.6131,73.81719,Reverse
662,Point 662,21:24:30,18.61298,73.81729,Reverse
663,Point 663,21:25:00,18.61213,73.818,Reverse
664,Point 664,21:25:30,18.6118,73.81826,Reverse
665,Point 665,21:26:00,18.61169,73.81834,Reverse
666,Point 666,21:26:30,18.61159,73.81843,Reverse
667,Point 667,21:27:00,18.61145,73.81855,Reverse
668,Point 668,21:27:30,18.61131,73.81866,Reverse
669,Point 669,21:28:00,18.61117,73.81878,Reverse
670,Point 670,21:28:30,18.61106,73.81888,Reverse
671,Point 671,21:29:00,18.61103,73.8189,Reverse
672,Point 672,21:29:30,18.61091,73.819,Reverse
