id,Points,Time,Latitude,Longitude,Direction
1,Point 1,15:54:00,18.56755,73.91859,Forward
2,Point 2,15:54:30,18.56757,73.91862,Forward
3,Point 3,15:55:00,18.56797,73.91869,Forward
4,Point 4,15:55:30,18.56799,73.91869,Forward
5,Point 5,15:56:00,18.56798,73.91879,Forward
6,Point 6,15:56:30,18.56804,73.9188,Forward
7,Point 7,15:57:00,18.56805,73.9188,Forward
8,Point 8,15:57:30,18.56808,73.91881,Forward
9,Point 9,15:58:00,18.5681,73.91881,Forward
10,Point 10,15:58:30,18.56812,73.91882,Forward
11,Point 11,15:59:00,18.56813,73.91883,Forward
12,Point 12,15:59:30,18.56814,73.91883,Forward
13,Point 13,16:00:00,18.56814,73.91884,Forward
14,Point 14,16:00:30,18.56814,73.91885,Forward
15,Point 15,16:01:00,18.56815,73.91886,Forward
16,Point 16,16:01:30,18.56815,73.91887,Forward
17,Point 17,16:02:00,18.56815,73.91905,Forward
18,Point 18,16:02:30,18.56816,73.91906,Forward
19,Point 19,16:03:00,18.56816,73.9191,Forward
20,Point 20,16:03:30,18.56817,73.91911,Forward
21,Point 21,16:04:00,18.56817,73.91913,Forward
22,Point 22,16:04:30,18.56818,73.91914,Forward
23,Point 23,16:05:00,18.56819,73.91915,Forward
24,Point 24,16:05:30,18.5682,73.91915,Forward
25,Point 25,16:06:00,18.56822,73.91916,Forward
26,Point 26,16:06:30,18.56823,73.91916,Forward
27,Point 27,16:07:00,18.56857,73.91918,Forward
28,Point 28,16:07:30,18.56823,73.91916,Forward
29,Point 29,16:08:00,18.56822,73.91916,Forward
30,Point 30,16:08:30,18.5682,73.91915,Forward
31,Point 31,16:09:00,18.56819,73.91915,Forward
32,Point 32,16:09:30,18.56818,73.91914,Forward
33,Point 33,16:10:00,18.56817,73.91913,Forward
34,Point 34,16:10:30,18.56817,73.91911,Forward
35,Point 35,16:11:00,18.56816,73.9191,Forward
36,Point 36,16:11:30,18.56816,73.91906,Forward
37,Point 37,16:12:00,18.56815,73.91905,Forward
38,Point 38,16:12:30,18.56815,73.91887,Forward
39,Point 39,16:13:00,18.56815,73.91886,Forward
40,Point 40,16:13:30,18.56814,73.91885,Forward
41,Point 41,16:14:00,18.56814,73.91884,Forward
42,Point 42,16:14:30,18.56814,73.91883,Forward
43,Point 43,16:15:00,18.56813,73.91883,Forward
44,Point 44,16:15:30,18.56812,73.91882,Forward
45,Point 45,16:16:00,18.5681,73.91881,Forward
46,Point 46,16:16:30,18.56808,73.91881,Forward
47,Point 47,16:17:00,18.56805,73.9188,Forward
48,Point 48,16:17:30,18.56804,73.9188,Forward
49,Point 49,16:18:00,18.56798,73.91879,Forward
50,Point 50,16:18:30,18.56799,73.91869,Forward
51,Point 51,16:19:00,18.56797,73.91869,Forward
52,Point 52,16:19:30,18.56757,73.91862,Forward
53,Point 53,16:20:00,18.5675,73.91866,Forward
54,Point 54,16:20:30,18.56708,73.91857,Forward
55,Point 55,16:21:00,18.56693,73.91854,Forward
56,Point 56,16:21:30,18.56628,73.91844,Forward
57,Point 57,16:22:00,18.56571,73.91834,Forward
58,Point 58,16:22:30,18.56513,73.91828,Forward
59,Point 59,16:23:00,18.56366,73.91815,Forward
60,Point 60,16:23:30,18.56313,73.91815,Forward
61,Point 61,16:24:00,18.56252,73.91816,Forward
62,Point 62,16:24:30,18.56229,73.91817,Forward
63,Point 63,16:25:00,18.56202,73.91818,Forward
64,Point 64,16:25:30,18.56184,73.91819,Forward
65,Point 65,16:26:00,18.56154,73.91821,Forward
66,Point 66,16:26:30,18.56129,73.91825,Forward
67,Point 67,16:27:00,18.56118,73.91837,Forward
68,Point 68,16:27:30,18.56107,73.91853,Forward
69,Point 69,16:28:00,18.56131,73.91939,Forward
70,Point 70,16:28:30,18.56145,73.91996,Forward
71,Point 71,16:29:00,18.56166,73.92065,Forward
72,Point 72,16:29:30,18.56163,73.92069,Forward
73,Point 73,16:30:00,18.5616,73.92071,Forward
74,Point 74,16:30:30,18.56157,73.92072,Forward
75,Point 75,16:31:00,18.56154,73.92073,Forward
76,Point 76,16:31:30,18.56147,73.92072,Forward
77,Point 77,16:32:00,18.56129,73.92006,Forward
78,Point 78,16:32:30,18.56129,73.92004,Forward
79,Point 79,16:33:00,18.56115,73.91957,Forward
80,Point 80,16:33:30,18.56094,73.91875,Forward
81,Point 81,16:34:00,18.56084,73.91835,Forward
82,Point 82,16:34:30,18.5608,73.9182,Forward
83,Point 83,16:35:00,18.56074,73.91797,Forward
84,Point 84,16:35:30,18.56065,73.9177,Forward
85,Point 85,16:36:00,18.5602,73.91626,Forward
86,Point 86,16:36:30,18.56002,73.91574,Forward
87,Point 87,16:37:00,18.56,73.91568,Forward
